text,num_lessons,first_lesson,last_lesson,span,coverage,total_count,intervals,pattern_type,decay_trend,lessons
Ce n'est pas beaucoup.,3,14,28,15,0.2,3,"[11, 3]",intermediate,decaying,"[14, 25, 28]"
C'est beaucoup.,3,14,20,7,0.43,3,"[2, 4]",expanding_intervals,decaying,"[14, 16, 20]"
Je peux.,3,15,25,11,0.27,4,"[2, 8]",expanding_intervals,decaying,"[15, 17, 25]"
J'en ai beaucoup.,3,15,27,13,0.23,3,"[2, 10]",expanding_intervals,decaying,"[15, 17, 27]"
Est-ce que Paris est loin?,3,15,24,10,0.3,3,"[8, 1]",intermediate,decaying,"[15, 23, 24]"
Est-ce que vous avez de l'argent?,3,16,25,10,0.3,3,"[1, 8]",expanding_intervals,decaying,"[16, 17, 25]"
Cinquante,3,17,22,6,0.5,3,"[1, 4]",expanding_intervals,decaying,"[17, 18, 22]"
Entrez.,3,19,21,3,1.0,3,"[1, 1]",persistent_scaffolding,decaying,"[19, 20, 21]"
Nous voulons.,3,19,22,4,0.75,3,"[2, 1]",persistent_scaffolding,decaying,"[19, 21, 22]"
Vraiment?,3,21,26,6,0.5,5,"[1, 4]",expanding_intervals,decaying,"[21, 22, 26]"
Combien de kilomètres?,3,22,25,4,0.75,3,"[1, 2]",expanding_intervals,decaying,"[22, 23, 25]"
Il y a combien de kilomètres?,3,22,24,3,1.0,4,"[1, 1]",persistent_scaffolding,variable,"[22, 23, 24]"
Attendez.,3,23,27,5,0.6,11,"[1, 3]",expanding_intervals,decaying,"[23, 24, 27]"
Quelle est la route de Paris?,3,23,25,3,1.0,4,"[1, 1]",persistent_scaffolding,variable,"[23, 24, 25]"
Et puis.,3,24,29,6,0.5,4,"[1, 4]",expanding_intervals,decaying,"[24, 25, 29]"
Pourquoi?,3,25,29,5,0.6,5,"[2, 2]",intermediate,decaying,"[25, 27, 29]"
Parce que,3,25,28,4,0.75,4,"[2, 1]",persistent_scaffolding,decaying,"[25, 27, 28]"
Peut-être.,3,26,28,3,1.0,3,"[1, 1]",persistent_scaffolding,decaying,"[26, 27, 28]"
Je ne crois pas.,3,26,28,3,1.0,3,"[1, 1]",persistent_scaffolding,decaying,"[26, 27, 28]"
Rien.,3,27,29,3,1.0,5,"[1, 1]",persistent_scaffolding,decaying,"[27, 28, 29]"
Ensemble.,3,27,29,3,1.0,4,"[1, 1]",persistent_scaffolding,decaying,"[27, 28, 29]"
Nous sommes ici.,3,28,30,3,1.0,3,"[1, 1]",persistent_scaffolding,decaying,"[28, 29, 30]"
Depuis combien de temps?,3,28,30,3,1.0,5,"[1, 1]",persistent_scaffolding,decaying,"[28, 29, 30]"
Combien de temps?,3,28,30,3,1.0,4,"[1, 1]",persistent_scaffolding,variable,"[28, 29, 30]"
